Date,Open,High,Low,Close,Adj Close,Volume
1987-12-31,2.414063,2.421875,2.375000,2.382813,0.227669,7091200
1988-01-04,2.398438,2.500000,2.398438,2.492188,0.238119,11772800
1988-01-05,2.492188,2.531250,2.437500,2.468750,0.235879,12094400
1988-01-06,2.468750,2.500000,2.460938,2.468750,0.235879,8112000
1988-01-07,2.468750,2.507813,2.414063,2.500000,0.238865,7062400
1988-01-08,2.500000,2.500000,2.265625,2.281250,0.217965,12528000
1988-01-11,2.289063,2.429688,2.289063,2.398438,0.229162,11088000
1988-01-12,2.398438,2.406250,2.328125,2.382813,0.227669,9308800
1988-01-13,2.382813,2.398438,2.320313,2.351563,0.224683,11017600
1988-01-14,2.351563,2.367188,2.296875,2.351563,0.224683,6236800
1988-01-15,2.406250,2.476563,2.406250,2.453125,0.234387,16480000
1988-01-18,2.453125,2.460938,2.406250,2.437500,0.232894,4249600
1988-01-19,2.437500,2.453125,2.343750,2.367188,0.226176,8123200
1988-01-20,2.359375,2.359375,2.250000,2.312500,0.220950,8636800
1988-01-21,2.312500,2.335938,2.250000,2.296875,0.219458,9088000
1988-01-22,2.296875,2.335938,2.296875,2.320313,0.221697,4465600
1988-01-25,2.320313,2.390625,2.312500,2.359375,0.225429,9739200
1988-01-26,2.359375,2.359375,2.312500,2.312500,0.220950,4470400
1988-01-27,2.312500,2.335938,2.234375,2.265625,0.216472,13883200
1988-01-28,2.273438,2.335938,2.273438,2.312500,0.220950,10400000
1988-01-29,2.312500,2.359375,2.281250,2.351563,0.224683,7020800
1988-02-01,2.351563,2.367188,2.250000,2.265625,0.216472,9488000
1988-02-02,2.265625,2.335938,2.250000,2.312500,0.220950,14489600
1988-02-03,2.312500,2.320313,2.265625,2.273438,0.217218,10934400
1988-02-04,2.273438,2.296875,2.218750,2.273438,0.217218,10316800
1988-02-05,2.273438,2.296875,2.195313,2.218750,0.211993,6340800
1988-02-08,2.218750,2.250000,2.187500,2.226563,0.212739,8752000
1988-02-09,2.226563,2.257813,2.218750,2.257813,0.215725,7332800
1988-02-10,2.257813,2.281250,2.226563,2.273438,0.217218,16960000
1988-02-11,2.273438,2.296875,2.257813,2.296875,0.219458,11425600
1988-02-12,2.296875,2.312500,2.273438,2.289063,0.218711,7777600
1988-02-16,2.289063,2.289063,2.257813,2.281250,0.217965,12814400
1988-02-17,2.296875,2.351563,2.296875,2.335938,0.223190,15073600
1988-02-18,2.335938,2.351563,2.320313,2.320313,0.221697,7884800
1988-02-19,2.320313,2.375000,2.320313,2.375000,0.226922,11320000
1988-02-22,2.375000,2.414063,2.343750,2.406250,0.229908,12401600
1988-02-23,2.406250,2.429688,2.382813,2.414063,0.230654,11622400
1988-02-24,2.414063,2.429688,2.375000,2.375000,0.226922,7923200
1988-02-25,2.375000,2.421875,2.320313,2.343750,0.223936,8819200
1988-02-26,2.335938,2.335938,2.296875,2.304688,0.220204,11953600
1988-02-29,2.304688,2.335938,2.296875,2.335938,0.223190,14142400
1988-03-01,2.351563,2.382813,2.351563,2.375000,0.226922,16480000
