Date,Open,High,Low,Close,Adj Close,Volume
1987-12-31,8.406250,8.625000,8.375000,8.593750,0.766748,22725600
1988-01-04,8.437500,8.750000,8.406250,8.625000,0.825232,6714000
1988-01-05,8.750000,8.875000,8.687500,8.718750,0.834202,1583600
1988-01-06,8.718750,8.750000,8.593750,8.687500,0.831212,1517200
1988-01-07,8.625000,8.718750,8.500000,8.718750,0.834202,1319600
1988-01-08,8.625000,8.687500,8.343750,8.343750,0.798322,2895200
1988-01-11,8.562500,8.562500,8.250000,8.406250,0.804303,1639600
1988-01-12,8.375000,8.625000,8.312500,8.593750,0.822242,1482800
1988-01-13,8.531250,8.937500,8.468750,8.781250,0.840183,2179600
1988-01-14,8.718750,8.937500,8.718750,8.843750,0.846162,1168400
1988-01-15,9.000000,9.156250,8.968750,9.093750,0.870082,2709600
1988-01-18,9.125000,9.125000,9.000000,9.093750,0.870082,1752800
1988-01-19,9.062500,9.125000,8.937500,9.062500,0.867092,1124400
1988-01-20,8.812500,8.968750,8.750000,8.781250,0.840183,1430400
1988-01-21,8.812500,8.812500,8.687500,8.781250,0.840183,2103600
1988-01-22,8.875000,9.125000,8.812500,9.125000,0.873072,2217200
1988-01-25,9.062500,9.343750,9.000000,9.250000,0.885032,1836400
1988-01-26,9.218750,9.281250,9.125000,9.218750,0.882042,954400
1988-01-27,9.250000,9.343750,9.093750,9.156250,0.876062,1508400
1988-01-28,9.250000,9.500000,9.187500,9.500000,0.908952,1567200
1988-01-29,9.531250,9.625000,9.406250,9.625000,0.920912,1628000
1988-02-01,9.687500,9.781250,9.437500,9.468750,0.905962,1500400
1988-02-02,9.375000,9.500000,9.343750,9.375000,0.896992,1568000
1988-02-03,9.437500,9.500000,9.218750,9.343750,0.894002,1879600
1988-02-04,9.281250,9.437500,9.281250,9.406250,0.899982,1244400
1988-02-05,9.406250,9.531250,9.375000,9.375000,0.896992,1662400
1988-02-08,9.281250,9.343750,9.250000,9.281250,0.888022,711200
1988-02-09,9.281250,9.406250,9.281250,9.343750,0.894002,908800
1988-02-10,9.406250,9.718750,9.312500,9.656250,0.923901,3011600
1988-02-11,9.625000,9.625000,9.500000,9.562500,0.914932,1559200
1988-02-12,9.531250,9.656250,9.500000,9.593750,0.917921,1248800
1988-02-16,9.531250,9.562500,9.406250,9.500000,0.908952,1109200
1988-02-17,9.531250,9.531250,9.187500,9.281250,0.888022,1020400
1988-02-18,9.343750,9.375000,9.250000,9.281250,0.888022,1015200
1988-02-19,9.343750,9.375000,9.218750,9.375000,0.896992,2986800
1988-02-22,9.375000,9.531250,9.312500,9.531250,0.911942,1916000
1988-02-23,9.562500,9.593750,9.312500,9.375000,0.896992,1571600
1988-02-24,9.343750,9.437500,9.312500,9.343750,0.894002,1560400
1988-02-25,9.375000,9.531250,9.250000,9.250000,0.885032,1396000
1988-02-26,9.312500,9.375000,9.250000,9.250000,0.885032,1017200
1988-02-29,9.250000,9.437500,9.250000,9.375000,0.896992,1262800
1988-03-01,9.468750,9.562500,9.406250,9.562500,0.914932,2202000
1988-03-02,9.625000,9.656250,9.437500,9.500000,0.908952,1605600
1988-03-03,9.531250,9.531250,9.437500,9.500000,0.908952,790000
1988-03-04,9.500000,9.500000,9.375000,9.468750,0.905962,1033200
